错误码	名称	说明
40015	CONSORT_INITIATE_CHAT_OVER_LIMIT	家人主动发起聊天次数超过上限
40016	CONSORT_EVALUATE_OVER_LIMIT	评价回复次数已达上限
50001	CHILD_NOT_EXISTS	子嗣不存在
50002	CHILD_NAME_ERROR	子嗣名称不符合要求
50003	CHILD_NAME_EXIST	子嗣名称已存在
50004	CHILD_NAME_NOT_SET	子嗣未命名
50005	CHILD_SEAT_NOT_EXIST	子嗣训练位不存在
50006	CHILD_SEAT_NOT_UNLOCK	子嗣训练位未解锁
50007	CHILD_SEAT_NOT_ENERGY	子嗣训练位没有脑力值
50008	CHILD_LVL_FULL	子嗣已满级
50009	CHILD_NOT_LVL_FULL	子嗣未满级
50010	ADULT_COUNT_UNMARRY_FULL	成年未婚子嗣数量到达上限
50011	TO_ME_APPLY_NOT_EXISTS	联姻请求不存在
50012	ADULT_NOT_IDLE	子嗣状态不是空闲
50013	ADULT_MARRY_FAIL	子嗣联姻失败
50014	ADULT_NOT_APPLY_PLAYER	子嗣状态不是指定联姻请求中
50015	ADULT_POOL_GROUP_NOT_MATCH	子嗣联姻池不匹配
50016	ADULT_NOT_MATCH_SELF	不能与自身子嗣进行联姻
50017	ADULT_POOL_NOT_FIND	联姻池子嗣不存在
50018	ADULT_NOT_IN_POOL	子嗣不存在联姻池
50019	NO_FREE_SEAT	没有空闲位置
50020	RAND_GAIN_CHILD_FAIL	随机获得子嗣失败
50021	ADULT_MATCH_MIN	匹配子嗣需要超过最小值
60001	GROUP_NOT_FOUND	分组不存在
60002	TEAM_NOT_FOUND	队伍不存在
60003	TEAM_MEMBER_NOT_FOUND	未加入队伍
60004	TEAM_MEMBER_EXISTED	已加入队伍
60005	TEAM_CREATE_FAIL	创建队伍失败
60006	TEAM_JOIN_FAIL	加入队伍失败
60007	TEAM_MEMBER_NOT_LEADER	不是队长
60008	TEAM_NOT_FREE_JOIN	不允许自由加入队伍
60009	TEAM_MEMBER_FULL	队伍已满员
60010	TEAM_LEADER_NOT_QUIT	队长不能退出队伍
60011	TEAM_APPLY_COND_FAIL	不满足队伍申请条件
60012	TEAM_APPLY_NOT_FOUND	申请数据不存在
60013	TEAM_APPLY_COND_ERROR	申请条件类型错误
60014	TEAM_APPLY_ALREADY_EXIST	已申请加入队伍
60015	TEAM_FORBID_JOIN	队伍已禁止加入
80002	BUILDING_NOT_EXIST	建筑不存在
80003	BUILDING_EXISTED	建筑已经存在
80004	BUILDING_BUILD_FAIL	建筑创建失败
80005	BUILDING_NO_TYPE	建筑类型错误
80006	BUILDING_LVL_FULL	建筑满级
80007	BUSINESS_EMPLOYEE_FULL	经营建筑雇佣人数上限
80008	BUSINESS_HERO_FULL	经营建筑委派伙伴数量上限
80009	BUSINESS_PRODUCT_ALREADY_UNLOCK	经营建筑产品已经解锁
80010	FARM_CLICK_GAP_LESS	农田建筑点击间隔时间不足
80011	BUSINESS_PRODUCT_UNLOCK_REQUIRE_NOT_REACH	经营建筑产品解锁条件未达成
90001	ACHIEVE_POINT_NOT_EXIST	成就点类型不存在
90002	ACHIEVE_POINT_STEP_REWARD_HAD_DRAW	成就点阶段奖励已领取
90003	ACHIEVE_POINT_NOT_ENOUGH	成就点点数不够
90004	ACHIEVE_NOT_ENOUGH	成就不存在
90005	ACHIEVE_STEP_REWARD_HAD_DRAW	成就阶段奖励已领取
90006	ACHIEVE_STEP_NOT_SATISFIED	成就阶段分数不满足
100001	INSTANCE_NO_EXIST	跨服分组实例不存在
100002	RANK_NO_EXIST	排行对象不存在
100003	RANK_OP_FAIL	排行榜操作失败
100004	CROSS_RANK_HANDLE_FAIL	跨服排行榜服务器承载失败
100005	RANK_FIXED_NOT_FOUND	常驻排行榜未找到
100006	RANK_FIXED_LIKE_LIST_EMPTY	常驻排行榜找不到点赞对象
100007	RANK_FIXED_LIKE_CD_NOT_ENOUGH	常驻排行榜点赞次数不足
100008	RANK_FIXED_A_KEY_LIKE_NOT_UNLOCK	常驻排行榜一键点赞功能未解锁
100009	RANK_FIXED_CANT_LIKE	该常驻排行榜不支持点赞
100010	RANK_FIXED_NO_TARGET_CAN_LIKE	常驻排行榜没有可点赞目标
100011	RANK_ITEM_NO_EXIST	排行item数据不存在
100012	RANK_NOT_JOIN	未参加排行
110001	DINNER_OWNER_REWARD	宴会未领取开宴奖励
110002	DINNER_STARTED	宴会已开启
110003	DINNER_NOT_PERMIT	宴会不允许开启
110004	DINNER_PERMIT_NOT_FOUND	宴会凭证不存在
110005	DINNER_NOT_FOUND	宴会不存在
110006	DINNER_END	宴会已结束
110007	DINNER_FULL	宴会已经满座
110008	DINNER_JOINED	已经加入宴会
110009	DINNER_IS_OWN	是自己举办的宴会
110010	DINNER_OWNER_REWARD_NOT_FOUND	没有开宴奖励
110011	DINNER_OWNER_REWARD_FAIL	开宴奖励领取失败
110012	DINNER_JOIN_CD_NOT_ENOUGH	赴宴次数限制
120001	FRIEND_SYS_ERROR	好友系统错误
120002	FRIEND_EXISTED_ERROR	已经是好友
120003	FRIEND_LIMIT_ERROR	好友数量上限
120004	TARGET_FRIEND_LIMIT_ERROR	对方好友数量上限
120005	FRIEND_APPLY_NOT_EXIST	好友申请不存在错误
120006	FRIEND_NOT_EXISTED_ERROR	找不到指定好友
120008	TARGET_FRIEND_APPLY_LIMIT_ERROR	对方好友申请数量上限
120009	FRIEND_GROUP_NOT_FOUND	找不到好友分组
120010	FRIEND_GROUP_REACH_LIMIT	好友分组数量达到上限
130001	MAIL_NOT_FOUND	邮件不存在
130002	MAIL_TAKE_NOT_HAS_ITEM	没有可领取的物品
130003	MAIL_TAKE_ALREADY_TAKEN	邮件物品已经领取
130004	MAIL_LOCK_MAX	已达收藏邮件的上限
130005	MAIL_DEL_HAS_ITEM	有物品的邮件不能删除
130006	MAIL_DEL_LOCKED	收藏邮件不能删除
130007	MAIL_DEL_MUST_READ	必读未读的邮件不能删除
130008	MAIL_DEL_MUST_READ_OVER	必读未读完的邮件不能删除
130009	MAIL_TAKE_HAS_ERROR	邮件不能领取
140001	DAILY_QUEST_NOT_EXIST	日常任务不存在
140002	DAILY_QUEST_HAS_FINISH	日常任务已经完成
140003	DAILY_QUEST_NOT_REACH_SCORE_REQUIRE	日常任务领取不满足分数需要
140004	DAILY_QUEST_NOT_UNLOCK	日常任务尚未解锁
140005	DAILY_QUEST_ACTIVE_POINT_NOT_ENOUGH	日常任务活跃度不够
140006	DAILY_QUEST_ACTIVE_REWARD_HAS_DRAW	日常任务活跃奖励已被领取
140007	DAILY_QUEST_SERIAL_NOT_EQUAL	日常任务刷新序列号不匹配
140008	DAILY_QUEST_A_KEY_DRAW_FUNC_NOT_UNLOCK	日常任务一键完成功能未解锁
140009	QUEST_NOT_EXIST	任务不存在
140010	QUEST_DONE_EXCEED_ERROR	任务完成次数超过限制错误
140011	QUEST_START_COND_ERROR	任务开启条件未通过
140012	QUEST_START_COST_ITEM_ERROR	任务开启消耗物品不足
140013	QUEST_START_COST_ITEM_FAIL	任务开启消耗物品失败
140014	QUEST_FINISH_FAIL	任务完成失败
140015	QUEST_DROP_FAIL	任务放弃失败
140016	QUEST_CLIENT_CHG_COUNT_FAIL	修改任务计数失败
150001	EVENT_NOT_EXIST	政务事件不存在
150002	EVENT_EARNINGS_NOT_REACH	不满足政务事件所需赚速
150003	EARNINGS_DIDNT_DRAW_FIRST_REWARD	未领取首次奖励
150004	EARNINGS_HAD_DRAW_FIRST_REWARD	已领取首次奖励
150005	EARNINGS_HAD_DRAW_FINAL_REWARD	已领取最终奖励
160001	DAILY_CHECK_HAS_CHECK	每日签到今天已签到
160002	DAILY_CHECK_DESSERT_NOT_FOUND	每日签到选择甜品存在
170001	TRAVEL_EVENT_CREATE_FAIL	游历事件创建失败
170002	TRAVEL_EVENT_NOT_FOUND	游历事件未找到
170003	TRAVEL_EVENT_NOT_DEAL	游历事件未处理
170004	TRAVEL_EVENT_CONSORT_NOT_IN	游历事件不属于指定妃子列表
170005	TRAVEL_COST_NOT_ENOUGH	游历事件消耗不足
170006	TRAVEL_COST_FAIL	游历事件消耗失败
170007	TRAVEL_GAMBLE_BET_INVALID	博彩押注额度不合法
180001	PLAYER_TITLE_NOT_FOUND	未找到玩家称号
180002	PLAYER_TITLE_EXISTED	玩家称号已存在
180003	PLAYER_SKIN_NOT_FOUND	未找到玩家皮肤
180004	PLAYER_SKIN_EXISTED	玩家皮肤已存在
180005	PLAYER_SKIN_LVL_FULLL	玩家皮肤已满级
190002	PLAYER_HAD_UNLOCK_FUNC	玩家已经解锁功能
190003	NOT_REWARD_GAN_GAIN	没有可以领取的奖励
190004	ALREADY_GAINED_VISIT_REWARD	已经领取拜访奖励
190005	PLAYER_NAME_EQUAL	玩家用户名重复
190006	PLAYER_NAME_CONTAINS_ILLEGAL_CHARACTER	玩家用户名包含非法字符
190007	PLAYER_CUTE_ACTOR_NOT_ENABLE	玩家Q版形象不可用
190008	PLAYER_TITLE_NOT_ENABLE	玩家头衔不可用
190009	PLAYER_ICON_NOT_ENABLE	玩家头像不可用
190010	PLAYER_ICON_BGK_NOT_ENABLE	玩家头像框不可用
190011	PLAYER_BUBBLE_NOT_ENABLE	玩家聊天气泡框不可用
190012	PLAYER_ACCOUNT_IS_FREEZE	玩家账号被冻结
190013	OFFLINE_REWARD_TAKE_FAIL	领取离线奖励失败
190014	SHIELD_CID_EXPEND_LIMIT	屏蔽玩家数量超过上限
190015	SHIELD_PLAYER_BAN	屏蔽玩家禁止
190016	TARGET_PLAYER_SHIELD_BAN	对方玩家屏蔽了当前玩家
190017	WEEK_CARD_FREE_TRIAL_HAD_USE	周卡免费试用已使用
190018	TODAY_HAD_LIKE	今日已点赞
190019	TODAY_LIKE_REACH_LIMIT	今日点赞次数达到上限
190020	CANT_LIKE_SELF	不能给自己点赞
190021	RECRUIT_ALREADY_DONE	已经兑换过
190022	GACHA_CUMULATIVE_REWARD_POINT_NOT_ENOUGH	抽奖累计奖励兑换积分不足
190023	STATION_IS_EMPTY	竞技场贸易站没有产出
190024	STATION_MAX_LEVEL	竞技场贸易站已达最高等级
190025	TARGET_REWARD_HAD_DRAW	目标奖励已领取
190026	TARGET_REWARD_NOT_REACH	目标奖励还没达成
190027	REFRESH_TIME_NOT_ARRIVED	刷新时间未到
190028	DRAW_DAILY_REWARD_ALREADY_DRAW	已经领取过每日奖励
190029	DRAW_DAILY_REWARD_NOT_EXIST	没有每日奖励
190031	SEVEN_DAYS_LOGIN_NOT_REACH	七日登录奖励未达成
190032	SEVEN_DAYS_LOGIN_REWARD_HAD_DRAW	七日登录奖励已领取
190033	SEVEN_DAYS_LOGIN_REWARD_NOT_FOUND	七日登录奖励不存在
190034	EARNING_GOAL_REWARD_HAD_DRAW	赚速目标奖励已领取
190035	EARNING_GOAL_REWARD_NOT_MEET_REQUIRE	赚速目标奖励未达成
190036	VIP_LEVEL_REWARD_HAD_DRAW	VIP等级奖励已领取
190037	VIP_LEVEL_REWARD_NOT_MEET_REQUIRE	VIP等级奖励未达成
190038	FIRST_RECHARGE_GIFT_PACK_NOT_BUY	首充礼包未购买
190039	FIRST_RECHARGE_REWARD_HAD_DRAW	首充奖励已领取
190040	FIRST_RECHARGE_REWARD_DAY_NUM_NOT_MEET	首充奖励天数未达成
190041	FIRST_RECHARGE_REWARD_DRAW_FAIL	首充奖励领取失败
190042	RECHARGE_REBATE_NOT_MEET_REQUIRE	充值返利档位未达成
190043	RECHARGE_REBATE_ALREADY_DRAW	充值返利奖励已领取
190044	RECHARGE_REBATE_STEP_NOT_FOUND	充值返利档位不存在
190045	PRIVILEGE_CARD_NOT_FOUND	权益卡不存在
190046	PRIVILEGE_CARD_NOT_EFFECT	权益卡未激活
190047	PRIVILEGE_CARD_DAILY_REWARD_GAINED	权益卡当日奖励已领取
190048	STORE_REVIEWS_DONE	商店评价已设置
190050	PLAYER_ROOM_SKIN_NOT_ENABLE	玩家房间皮肤不可用
190051	PLAYER_NOT_REPORT_SELF	玩家不能举报自己
190052	PLAYER_REPORT_CONTENT_ERROR	玩家举报内容
200001	MARKET_NOT_UNLOCK	集市尚未解锁
200002	MARKET_LVL_FULL	集市已经满级
200003	MARKET_COUNT_EMPTY	集市经营次数不足
200004	MARKET_CD_NOT_RECOVER	集市CD未回复
200005	MARKET_AKEY_OPERATE_NOT_UNLOCK	集市一键经营未解锁
210001	CHAT_ROOM_NOT_FOUND	聊天房间不存在
210002	CHAT_ROOM_NOT_INITED	聊天房间未初始化完成
210003	CHAT_USER_NOT_FOUND	聊天用户不存在
210006	CHAT_USER_JOIN_ROOM_FAIL	聊天用户加入房间失败
210007	CHAT_USER_QUIT_ROOM_FAIL	聊天用户退出房间失败
210008	CHAT_SEND_MSG_FAIL	发送消息失败
210009	CHAT_FORBID	禁言中
220001	STEP_REWARD_NO_EXIST	阶段奖励对象不存在
220002	STEP_EVENT_SCORE_GT	阶段奖励事件分数需要更大值
220003	STEP_EVENT_SCORE_MAX	阶段奖励事件分数达到最大值
230001	HERO_HAD_SELECTED	英雄已经上场过
230002	OPPONENT_HAD_SELECTED	已经选择对手
230003	OPPONENT_DATA_LOAD_FAIL	对手数据加载失败
230004	OPPONENT_NOT_FOUND	对手未找到
230005	OPPONENT_NOT_SELECTED	对手未选择
230006	HAD_BUY_ROUND_BUFF	已购买回合加成
230007	CANT_BUY_ROUND_BUFF	不符合购买当前buff的条件
230008	OPPONENT_HERO_NOT_FOUND	对手大臣数据不存在
230009	HP_EMPTY	血量为空
230010	REPORT_NOT_FOUND	战报未找到
230011	BUY_RANDOM_ATTACK_NUM_OVER_LIMIT	购买随机攻击次数超上限
230012	SELECT_ATTACK_NUM_OVER_LIMIT	指定攻击次数超上限
230013	RANDOM_ATTACK_NUM_OVER_LIMIT	随机攻击次数超上限
230014	HERO_NUM_NOT_ENOUGH_TO_ENTER_ARENA	英雄数量不足以进入竞技场
240001	LOGIN_SDK_ENTER_SERVICE_UNAVAILABLE	SDK登录服务不可用
240002	LOGIN_CHECK_DB_UNAVAILABLE	登录校验数据库不可用
240003	LOGIN_NO_USER_INFO	登录找不到用户信息
240004	LOGIN_ADD_ACC_INFO_FAIL	增加account信息错误
240005	LOGIN_CHECK_CODE_ERR	登录校验码错误
240006	LOGIN_SDK_RESPONSE_ERR	SDK返回内容错误
240007	PLAYER_DATA_LOAD_FAIL	玩家数据加载失败
240008	GS_GEN_USER_CODE_ERR	GS生成用户验证码错误
240009	LOGIN_WHEN_US_NOT_READY	玩家服务器状态未就绪时登录
240010	RECOMMEND_SERVER_NOT_FOUND	找不到推荐服务器
260001	GAME_RES_GM_CHG_FAIL	游戏资源GM修改失败
260002	GAME_RES_REF_TABLE_NOT_FOUND	游戏资源配表找不到
270001	HTTP_RESPONSE_ERROR	HTTP请求响应失败
270002	PLATFORM_RESPONSE_ERROR	HTTP请求平台返回错误码
270003	PLATFORM_RESPONSE_DATA_ERROR	HTTP请求平台返回数据
270004	PLATFORM_DECODE_DATA_ERROR	HTTP请求平台返回数据解析错误
270005	ANNOUNCEMENT_NOT_FOUND	找不到公告
270006	ANNOUNCEMENT_HAD_DRAW	公告奖励已领取
270007	QUESTIONNAIRE_REWARD_NOT_FOUND	找不到问卷奖励
270008	QUESTIONNAIRE_ACTIVITY_NOT_FOUND	问卷活动不存在（玩家不可见）
270009	QUESTIONNAIRE_REWARD_HAD_DRAW	问卷奖励已领取
270010	QUESTIONNAIRE_REWARD_ADD_REPEAT	问卷奖励重复添加（玩家不可见）
270011	NOTIFY_ROLE_GAME_EVENT_TYPE_NOT_FOUND	通知角色游戏事件类型找不到
270012	QUESTIONNAIRE_REWARD_LIST_PARSE_FAILED	问卷奖励列表解析失败
270013	QUESTIONNAIRE_ACTIVITY_REPEATED	问卷活动重复
270014	QUESTIONNAIRE_ACTIVITY_CLOSED	问卷活动已关闭
270015	PLATFORM_DEAL_MSG_ERROR	平台消息处理错误
280001	CROSS_SERVER_GROUP_LIST_IS_EMPTY	没有预备跨服分组信息
280002	CROSS_SERVER_GROUP_ID_HAD_USE	跨服分组ID在往期已被使用
280003	CROSS_SERVER_GROUP_US_IN_OTHER_GROUP	玩家服务器已经在其他跨服分组
280004	CROSS_SERVER_GROUP_ID_REPEAT	跨服分组ID已存在
280005	CROSS_SERVER_GROUP_NOT_FOUND	跨服分组不存在
280006	SCHEDULE_HAD_ACTIVE_CANT_UPDATE	排期已激活不能更新
290001	HANDLE_SERVER_NOT_FOUND	找不到合适的负载对象
290002	HANDLE_OBJ_NOT_FOUND	服务器对象不存在
290003	US_INFO_LIST_NOT_READY	玩家服务器信息列表未就绪
290004	US_INFO_NOT_FOUND	玩家服务器信息不存在
290006	US_INFO_SET_FFOM_FILE	US信息设置从文件获取
300001	PS_NO_AREA	未找到区域信息
300002	PS_NO_GS	未找到GS
310001	NO_CROSSGAME_CATEGORY_ERROR	跨服游戏模块不存在
310002	NO_CROSSGAME_INSTANCE_ERROR	跨服游戏实例不存在
320001	SHOP_ITEM_NOT_EXIST	商品不存在
320002	SHOP_BUY_FAIL	商品购买失败
320003	SHOP_REFRESH_LIMIT	商店手动刷新次数限制
330001	BAG_ITEM_ERROR	背包物品错误
330002	BAG_ITEM_NOT_EXISTS_ERROR	背包物品不存在
330003	BAG_ITEM_CAN_NOT_SELL_ERROR	背包物品不能出售
330004	BAG_ITEM_CAN_NOT_USE_ERROR	背包物品不能使用
330005	BAG_ITEM_USE_CONDITION_ERROR	背包物品使用条件错误
330006	BAG_ITEM_USE_OPTION_ERROR	背包物品使用下多选奖励物品错误
330007	BAG_ITEM_A_KEY_CONVERT_CHECK_FAIL	背包道具一键转换校验失败
340001	HERO_RECOMMEND_NOT_FIND	大臣推荐事件不存在
340002	HERO_RECOMMEND_NOT_IN_POOL	推荐大臣不在池子中
340003	HERO_RECOMMEND_COND_ERROR	推荐大臣获得条件不满足
350001	ACTIVITY_RANK_REWARD_STILL_CALCULATE	活动排行榜奖励还在结算中
350002	ACTIVITY_RANK_DONT_HAVE_REWARD	活动排行榜没有奖励
350003	ACTIVITY_RANK_REWARD_HAD_DRAW	活动排行榜奖励已领取
350004	ACTIVITY_STEP_REWARD_HAD_DRAW	活动阶段奖励已领取
350005	ACTIVITY_STEP_REWARD_NOT_COMPLETE	活动阶段奖励阶段未达成
350006	ACTIVITY_NOT_FOUND	活动不存在
350007	ACTIVITY_NOT_IN_FROZEN	活动不在领奖期
350008	ACTIVITY_RANK_NOT_FOUND	活动排行榜不存在
350009	ACTIVITY_STEP_REWARD_NOT_FOUND	活动阶段奖励不存在
350010	ACTIVITY_SHOP_NOT_FOUND	活动商店不存在
350011	ACTIVITY_SHOP_REFRESH_LIMIT	活动商店还没到刷新时间
350012	ACTIVITY_CRYSTAL_GIFT_PACK_REFRESH_LIMIT	活动钻石礼包还没到刷新时间
350013	ACTIVITY_CRYSTAL_GIFT_BUY_LIMIT	活动钻石礼包达到购买上限
350014	ACTIVITY_GIFT_PACK_GROUP_NOT_FOUND	活动礼包组不存在
350015	ACTIVITY_SCHEDULE_NOT_FOUND	活动关联排期不存在
350016	ACTIVITY_TYPE_ERROR	活动类型错误
350017	TEAM_CANNOT_KICK_SELF	不能踢出自己
350018	TEAM_PLAYER_NOT_IN_GROUP	玩家退出群组
360001	STAGE_GOAL_STEP_REWARD_HAD_DRAW	阶段目标阶段奖励已领取
360002	STAGE_GOAL_TASK_NOT_FOUND	阶段目标任务不存在
360003	STAGE_GOAL_TASK_ALREADY_DONE	阶段目标任务已完成
360004	STAGE_GOAL_TASK_NOT_DONE	阶段目标任务未完成
360005	STAGE_GOAL_BIG_STEP_REWARD_HAD_DRAW	阶段目标大阶段奖励已领取
360006	STAGE_GOAL_STEP_NOT_DONE	阶段目标阶段未完成
360007	STAGE_GOAL_BIG_STEP_FIRST_REACH_REWARD_HAD_DRAW	阶段目标大阶段首次达成奖励已领取
360008	STAGE_GOAL_BIG_STEP_FIRST_REACH_REWARD_NOT_UNLOCK	阶段目标大阶段首次达成奖励未解锁
360009	STAGE_GOAL_SERVER_START_DAY_NOT_ENOUGH_TO_NEXT_STEP	阶段目标服务器开服天数不足以解锁下个阶段
360010	STAGE_GOAL_UNLOCK_CONDITION_NOT_MEET_TO_NEXT_STEP	阶段目标解锁条件不满足解锁下个阶段
370001	GUILD_NAME_EXIST	联盟名称已存在
370002	GUILD_NOT_EXIST	联盟不存在
370003	NOT_MEMBER_OF_GUILD	不是联盟成员
370004	DONT_HAVE_PERMISSION	没有权限
370005	GUILD_SIMPLE_NAME_EXIST	联盟简称已存在
370006	JOIN_REQUEST_NOT_FOUND	加入请求不存在
370007	JOIN_REQUEST_REACH_LIMIT	加入请求已达上限
370008	PLAYER_ALREADY_IN_GUILD	玩家已加入其它联盟
370009	GUILD_MEMBER_NUM_REACH_LIMIT	联盟成员已达上限
370010	NOT_FIT_GUILD_JOIN_LIMIT	不符合联盟加入条件
370011	GUILD_NOT_ALLOW_TO_JOIN	联盟不允许加入
370012	NO_GUILD_TO_JOIN	没有可加入的联盟
370013	GUILD_HAD_DISSOLVE	联盟已解散
370014	MEMBER_NOT_FOUND	成员不存在
370015	MEMBER_NOT_DEPUTY_LEADER	不是副盟主
370016	STILL_HAVE_OTHER_MEMBER	还有其他成员
370017	GUILD_POSITION_NOT_EXIST	联盟职位不存在
370018	GUILD_CONTRIBUTION_NOT_ENOUGH	联盟贡献度不足
370019	CANT_HANDLE_NON_GUILD_REQUEST	不能处理非本盟的请求
370020	LEADER_NOT_FOUND	找不到盟主
370021	GUILD_POSITION_NUM_REACH_LIMIT	联盟职位已达上限
370022	STRING_LENGTH_OVER_LIMIT	字符长度超过限制
370023	JOIN_GUILD_CD	加入联盟冷却中
370024	NO_JOIN_REQUESTS_TO_PROCESS	没有可以处理的加入请求
370025	IMPEACH_EVENT_CANT_OPERATE	弹劾事件不能操作
370026	IMPEACH_EVENT_HAS_VOTE	弹劾事件已经投票
370027	EVENT_NOT_FOUND	事件不存在
370028	GUILD_LEADER_PROACTIVE_TRANSFER_CD	盟主主动转让冷却中
370029	JOIN_REQUEST_ALREADY_EXIST	重复申请加入
370030	GUILD_FULL	联盟满员
370031	GUILD_RECRUIT_CD	联盟公开招募冷却中
370032	GUILD_HAD_DRAW_CONSTRUCT_REWARD	联盟已领取建设阶段奖励
370033	GUILD_HAD_DRAW_ACTIVE_BOX_LIMIT	超过领取联盟活跃宝箱上限
370034	GUILD_HAD_DRAW_ACTIVE_BOX	已领取联盟活跃宝箱
370035	GUILD_HAD_DRAW_GREAT_REWARD_LIMIT	超过领取联盟大礼上限
370036	GUILD_ACTIVE_BOX_NOT_EXIST	联盟活跃宝箱不存在
370037	NO_GUILD_GREAT_REWARD_CAN_DRAW	没有可以领取的联盟大礼
370038	NO_GUILD_ACTIVE_BOX_CAN_DRAW	没有可以领取的联盟活跃宝箱
370039	GUILD_ACTIVE_BOX_EXPIRED	联盟活跃宝箱已过期
